sample_id,prediction_time,close,return_1d,return_7d,return_30d,ema20_gap,ema50_gap,rsi14,volatility_7d,volatility_30d,volume,volume_change_1d,hash_rate_value,hash_rate_change_1d,hash_rate_change_7d,hash_rate_mean_7d,hash_rate_age_hours,hash_rate_missing,miners_revenue_value,miners_revenue_change_1d,miners_revenue_change_7d,miners_revenue_mean_7d,miners_revenue_age_hours,miners_revenue_missing,n_transactions_value,n_transactions_change_1d,n_transactions_change_7d,n_transactions_mean_7d,n_transactions_age_hours,n_transactions_missing,estimated_transaction_volume_usd_value,estimated_transaction_volume_usd_change_1d,estimated_transaction_volume_usd_change_7d,estimated_transaction_volume_usd_mean_7d,estimated_transaction_volume_usd_age_hours,estimated_transaction_volume_usd_missing,fear_greed_value,fear_greed_change_1d,fear_greed_change_7d,fear_greed_mean_7d,fear_greed_age_hours,fear_greed_missing
2022-01-01,2022-01-01T00:00:00+00:00,46216.93,-0.01918343188485272,-0.0905759543486816,-0.19178662868872398,-0.0553623359069958,-0.1084053201502927,50.3483965144906,0.023513716431296742,0.032408061828801085,34937.99796,0.1510825512783478,143583516.00506175,-0.17931034482758612,-0.21461229261114378,168463241.61080223,0.0,0,35335901.07549222,-0.19544372796439258,-0.2535806291252283,44175134.1650243,0.0,0,245021.0,-0.11250964383899043,-0.16030897981144554,243288.0,0.0,0,4495058364.967323,-0.2810638977303186,-0.27045783723520644,,0.0,0,28.0,6.0,-13.0,33.42857142857143,0.0,0
2022-01-02,2022-01-02T00:00:00+00:00,47722.65,0.032579403261964845,-0.053115636097545105,-0.15505731728952044,-0.022302479734226832,-0.07761774879100103,53.38842281559138,0.028541395956769303,0.03313514706009955,19604.46325,-0.4388784591365291,179781041.0483546,0.2521008403361342,-0.010102910738337578,168201120.3069299,0.0,0,44744369.164881885,0.2662580492652291,-0.09020613778494546,43541361.59967152,0.0,0,269540.0,0.10006897367980705,0.034444380480878056,244570.14285714287,0.0,0,8132766321.979922,0.8092682367293451,,4916772177.179392,0.0,0,21.0,-7.0,-18.0,30.857142857142858,0.0,0
2022-01-03,2022-01-03T00:00:00+00:00,47286.18,-0.009145971566960398,-0.0687203609458027,-0.11781243091320048,-0.028358963898134082,-0.08394782051007166,52.25910194582636,0.027894783381305053,0.03203455988311479,18340.4604,-0.06447525922445241,207532476.9148791,0.15436241610738244,0.17150993186536567,172541536.039696,0.0,0,50149010.75444461,0.12078931249755143,0.06452904314944918,43975633.81203767,0.0,0,186834.0,-0.306841285152482,-0.10090807158703197,241574.57142857142,0.0,0,2251115696.6149817,-0.7232041832394678,-0.5831277559255126,4466929650.686092,0.0,0,29.0,8.0,-8.0,29.714285714285715,0.0,0
2022-01-04,2022-01-04T00:00:00+00:00,46446.1,-0.01776586732106511,-0.08392937163125946,-0.05506071210663477,-0.04145917675648125,-0.0975400764833001,48.32791762406116,0.027788021492632417,0.028605280328688507,27662.0771,0.5082542366275602,190640298.56134245,-0.08139534883720922,0.1791044776119406,176678396.0446438,0.0,0,48206934.99043735,-0.03872610316316427,0.1300082778799505,44767954.25310506,0.0,0,196865.0,0.05368937131357243,-0.008606363370834091,241330.42857142858,0.0,0,1452133098.9064906,-0.35492738063615603,-0.010150089740406654,4464802447.775812,0.0,0,29.0,0.0,-11.0,28.142857142857142,0.0,0
2022-01-05,2022-01-05T00:00:00+00:00,45832.01,-0.013221562197902492,-0.03600326772778073,-0.07215758741590717,-0.04923358070456374,-0.10611697395233188,37.89891164721888,0.019048686799564785,0.02865513103197181,35491.4136,0.2830350183645465,168921783.5353667,-0.11392405063291144,-0.05405405405405428,175299442.7096612,0.0,0,41960366.0938647,-0.1295782214283434,-0.11958069005080274,43953788.698191695,0.0,0,234793.0,0.19265994463210823,-0.05912690143779953,239222.57142857142,0.0,0,2876707531.398016,0.9810219418345896,-0.28459329102512954,4301320682.107867,0.0,0,23.0,-6.0,-18.0,25.571428571428573,0.0,0
2022-01-06,2022-01-06T00:00:00+00:00,43451.13,-0.0519479726069183,-0.06485638762879153,-0.13859087838052164,-0.09008309573638051,-0.1483682527597816,32.543555901412574,0.024802288756158457,0.029665868889485057,51784.11857,0.4590604689242357,177367872.71213505,0.050000000000000044,0.0970149253731345,177540241.87900788,0.0,0,43285514.636499785,0.03158095760343804,-0.0017224475957383634,43943119.31636691,0.0,0,274544.0,0.16930232161946912,0.034367912230335085,240525.7142857143,0.0,0,6318179076.736239,1.1963230560549007,0.3590146110496528,4539762205.9815035,0.0,0,24.0,1.0,-3.0,25.142857142857142,0.0,0
2022-01-07,2022-01-07T00:00:00+00:00,43082.31,-0.008488156694659077,-0.08570639718663953,-0.1483849733983409,-0.08932814428404778,-0.1512547427784856,19.776777155895928,0.022955057281898568,0.029641271843136936,38880.37305,-0.24918345385288654,180987625.21646434,0.020408163265306145,0.0344827586206895,178402087.713372,0.0,0,43723000.844989486,0.010106988727374366,-0.004479481451444944,43915013.937230006,0.0,0,272155.0,-0.008701701730870148,-0.01422760546647206,239964.57142857142,0.0,0,4120168493.1743636,-0.34788671812975813,-0.34102348920253533,4235161226.2539053,0.0,0,15.0,-9.0,-7.0,24.142857142857142,0.0,0
2022-01-08,2022-01-08T00:00:00+00:00,41566.48,-0.0351845107655554,-0.10062221787557069,-0.17643154441177233,-0.11109754116302539,-0.17585608744278458,17.710607270270714,0.024270432900220688,0.030129158252499094,54836.50818,0.41039048440920234,176161288.5440253,-0.026666666666666616,0.22689075630252087,183056055.2189382,0.0,0,40297229.196211085,-0.07835170465366137,0.14040474332660713,44623775.0973327,0.0,0,264899.0,-0.0266612775807904,0.08112774007125911,242804.2857142857,0.0,0,6001701242.969663,0.456664030345439,0.3351776007503058,4450395923.1113825,0.0,0,18.0,3.0,-10.0,22.714285714285715,0.0,0
2022-01-09,2022-01-09T00:00:00+00:00,41679.74,0.002724791707163998,-0.12662561697642527,-0.12337316668065323,-0.0993577121726672,-0.16854441668956266,18.90620141549394,0.017163032919890894,0.028568504583048295,32952.73111,-0.39907313204857675,168921783.5353667,-0.04109589041095896,-0.060402684563758524,181504732.7170828,0.0,0,38347303.45149112,-0.0483885811410405,-0.14296917875448734,43709908.5668483,0.0,0,255381.0,-0.035930675464988515,-0.05253023669956225,240781.57142857142,0.0,0,5738802120.501829,-0.04380410017506142,-0.29436038202746273,4108401037.1859403,0.0,0,10.0,-8.0,-11.0,21.142857142857142,0.0,0
2022-01-10,2022-01-10T00:00:00+00:00,41864.62,0.004435728245905768,-0.11465421820921029,-0.11191895553169307,-0.0870739438795991,-0.15990135244070347,17.78662585017291,0.018852362798069712,0.028594343826777457,22724.39426,-0.310394207261809,174242949.24269608,0.03150076678071123,-0.1604063526203514,176749085.90677094,0.0,0,37777816.26905982,-0.014850775182971843,-0.24668870430885514,41942595.06893619,0.0,0,223920.0,-0.1231924066394916,0.19849706156267066,246079.57142857142,0.0,0,1793479669.1852403,-0.6874818766135798,-0.20329298406025598,4043024461.8388343,0.0,0,23.0,13.0,-6.0,20.285714285714285,0.0,0
